,tablerownames,ticker,company,constituentStart,constituentEnd,industryCode,industry
299,303,HPQ.US Equity,HP Inc,10/17/1974,null,452020,Computers & Peripherals
300,304,HRB.US Equity,H&R Block Inc,11/28/1986,null,253020,Diversified Consumer Services
301,305,HRL.US Equity,Hormel Foods Corp.,3/3/2009,null,302020,Food Products
302,306,HSIC.US Equity,Henry Schein Inc,3/17/2015,null,351020,Health Care Providers & Services
303,307,HSP.US Equity,Hospira Inc.,4/30/2004,9/1/2015,352020,Pharmaceuticals
304,308,HST.US Equity,Host Hotels & Resorts,3/19/2007,null,601010,Equity Real Estate Investment Trusts (REITs)
305,309,HSY.US Equity,The Hershey Company,1/1/1970,null,302020,Food Products
306,310,HUM.US Equity,Humana Inc.,11/30/1995,null,351020,Health Care Providers & Services
307,311,HWM.US Equity,Howmet Aerospace Inc,11/1/2016,null,201010,Aerospace & Defense
308,312,IBM.US Equity,International Business Machines Corporation,1/1/1970,null,451020,IT Services
309,313,ICE.US Equity,Intercontinental Exchange Inc,9/25/2007,null,402030,Capital Markets
310,314,IFF.US Equity,International Flavors & Fragrances Inc,3/4/1976,null,151010,Chemicals
311,315,IGT.US Equity,International Game Technology PLC,8/31/2001,6/20/2014,253010,"Hotels, Restaurants & Leisure"
312,316,ILMN.US Equity,Illumina Inc,11/18/2015,null,352030,Life Sciences Tools & Services
313,317,INTC.US Equity,Intel Corp.,12/9/1976,null,453010,Semiconductors & Semiconductor Equipment
314,318,INTU.US Equity,Intuit Inc.,12/8/2000,null,451030,Software
315,319,IP.US Equity,International Paper Company,1/1/1970,null,151030,Containers & Packaging
316,320,IPG.US Equity,Interpublic Group of Companies Inc,10/29/1992,null,502010,Media
317,321,IRM.US Equity,Iron Mountain Inc.,1/5/2009,null,601010,Equity Real Estate Investment Trusts (REITs)
318,322,ISRG.US Equity,Intuitive Surgical Inc.,6/2/2008,null,351010,Health Care Equipment & Supplies
319,323,ITT.US Equity,ITT Inc,1/1/1970,10/30/2011,201060,Machinery
320,324,ITW.US Equity,Illinois Tool Works Inc,2/13/1986,null,201060,Machinery
321,325,IVZ.US Equity,Invesco Ltd,8/20/2008,null,402030,Capital Markets
322,326,J.US Equity,Jacobs Engineering Group,10/25/2007,null,201030,Construction & Engineering
323,327,JAVA.US Equity,Sun Microsystems,8/19/1992,1/26/2010,452020,Computers & Peripherals
324,328,JBHT.US Equity,J. B. Hunt Transport Services Inc.,6/30/2015,null,203040,Road & Rail
325,329,JBL.US Equity,Jabil Circuit Inc,1/29/2001,11/3/2014,452030,"Electronic Equipment, Instruments & Components"
326,330,JCI.US Equity,Johnson Controls International plc,7/27/1989,3/15/2009,201020,Building Products
327,331,JCI.US Equity,Johnson Controls International plc,8/26/2010,null,201020,Building Products
328,332,JCP.US Equity,J.C. Penney Co Inc,1/1/1970,11/28/2013,255030,Multiline Retail
329,333,JEF.US Equity,Jefferies Financial Group Inc,8/24/2007,9/24/2019,402010,Diversified Financial Services
330,334,JNJ.US Equity,Johnson & Johnson,5/31/1973,null,351010,Health Care Equipment & Supplies
331,335,JNPR.US Equity,Juniper Networks Inc,6/1/2006,null,452010,Communications Equipment
332,336,JNS.US Equity,Janus Capital Group,7/12/2000,11/21/2011,402030,Capital Markets
333,337,JNY.US Equity,Jones Group,12/14/2001,3/2/2009,252030,"Textiles, Apparel & Luxury Goods"
334,338,JOY.US Equity,Joy Global Inc.,2/25/2011,10/6/2015,201060,Machinery
335,339,JPM.US Equity,JPMorgan Chase & Co.,7/1/1976,null,401010,Commercial Banks
336,340,JWN.US Equity,Nordstrom Inc,8/7/1986,6/18/2020,255030,Multiline Retail
337,341,K.US Equity,Kellogg Company,1/1/1970,null,302020,Food Products
338,342,KATE.US Equity,Kate Spade & Co,10/25/1984,11/30/2008,252030,"Textiles, Apparel & Luxury Goods"
339,343,KBH.US Equity,KB Home,3/8/1989,12/17/2009,252010,Household Durables
340,344,KEY.US Equity,KeyCorp,3/1/1994,null,401010,Commercial Banks
341,345,KG.US Equity,King Pharmaceuticals Inc.,10/2/2000,12/16/2010,352020,Pharmaceuticals
342,346,KHC.US Equity,Kraft Heinz Co,10/1/2012,null,302020,Food Products
343,347,KIM.US Equity,Kimco Realty,3/31/2006,null,601010,Equity Real Estate Investment Trusts (REITs)
344,348,KLAC.US Equity,KLA-Tencor Corp.,9/12/1997,null,453010,Semiconductors & Semiconductor Equipment
345,349,KMB.US Equity,Kimberly-Clark Corporation,1/1/1970,null,303010,Household Products
346,350,KMI.US Equity,Kinder Morgan Inc,5/24/2012,null,101020,"Oil, Gas & Consumable Fuels"
347,351,KMX.US Equity,Carmax Inc.,6/28/2010,null,255040,Specialty Retail
348,352,KO.US Equity,The Coca-Cola Company,1/1/1970,null,302010,Beverages
349,353,KR.US Equity,The Kroger Co,1/1/1970,null,301010,Food & Staples Retailing
350,354,KRFT.US Equity,Kraft Foods Group Inc,10/10/2012,7/2/2015,302020,Food Products
351,355,KSE.US Equity,KeySpan Corp,8/18/2000,8/23/2007,551030,Multi-Utilities
